timestamp,benchmark_source_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,c,logN,N,t,domainSize,m,trial_index,warmup,status,data_source,correctness,check,result,vector_pprf_instances,coordinate_pprf_instances,split_input_noisy_svole_length,same_sampled_instance,notes
2026-07-23T08:58:13.498744+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,8,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,16,128,1,RMVOLE_PAIRED_CORRECTNESS logN=12 N=4096 t=64 m=8 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=16 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:14.312290+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,32,128,1,RMVOLE_PAIRED_CORRECTNESS logN=12 N=4096 t=64 m=16 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=32 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:15.980307+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,64,128,1,RMVOLE_PAIRED_CORRECTNESS logN=12 N=4096 t=64 m=32 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=64 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:19.413822+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,14,16384,64,256,8,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,16,128,1,RMVOLE_PAIRED_CORRECTNESS logN=14 N=16384 t=64 m=8 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=16 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:20.481179+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,14,16384,64,256,16,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,32,128,1,RMVOLE_PAIRED_CORRECTNESS logN=14 N=16384 t=64 m=16 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=32 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:22.628112+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,14,16384,64,256,32,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,64,128,1,RMVOLE_PAIRED_CORRECTNESS logN=14 N=16384 t=64 m=32 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=64 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:26.934028+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,16,65536,64,1024,8,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,16,128,1,RMVOLE_PAIRED_CORRECTNESS logN=16 N=65536 t=64 m=8 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=16 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:28.352250+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,16,65536,64,1024,16,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,32,128,1,RMVOLE_PAIRED_CORRECTNESS logN=16 N=65536 t=64 m=16 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=32 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:31.124092+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,16,65536,64,1024,32,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,64,128,1,RMVOLE_PAIRED_CORRECTNESS logN=16 N=65536 t=64 m=32 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=64 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
2026-07-23T08:58:36.712011+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,RM_VECTOR_RM_COORD_PAIRED,INCLUDING_OT,2305843009213693951,61,64,128,2,18,262144,64,4096,8,0,0,OK,measured,PASS,same_sampled_inputs_Z0_plus_Z1_equals_Delta_x,PASS,2,16,128,1,RMVOLE_PAIRED_CORRECTNESS logN=18 N=262144 t=64 m=8 split_input_length=128 vector_pprf_instances=2 coordinate_pprf_instances=16 vector_ok=1 coordinate_ok=1 same_sampled_instance=1 PASS
